name,time_used,mem_used
./input/8x8/4.txt,1.868857314000024,25412
./input/8x8/5.txt,0.24132324999999302,48076
./input/8x8/1.txt,0.168837953999968,48584
./input/8x8/3.txt,3.9191735929999822,38584
./input/8x8/2.txt,31.721445125000002,173332
./input/6x6/puzzle3.txt,0.018236270999977003,189040
./input/6x6/puzzle2.txt,0.015502766999986001,201040
./input/6x6/puzzle4.txt,0.032227151999961005,169040
./input/6x6/puzzle5.txt,0.020055728999977002,203000
./input/6x6/puzzle1.txt,0.045842185000026,189040
./input/6x6_hard/4.txt,0.681165824999993,129040
./input/6x6_hard/5.txt,0.161581854000019,189040
./input/6x6_hard/1.txt,0.060733568999978005,229040
./input/6x6_hard/3.txt,0.08934921600001601,319040
./input/6x6_hard/2.txt,0.043530468999961006,179040
total,1.036360932999969,945200
